# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.357380151748657227e+00 2.261587619781494141e+00 9.967288374900817871e-01
1.000000000000000000e+03 9.497215598821640015e-02 9.542206674814224243e-02 2.047362476587295532e-01
2.000000000000000000e+03 9.242467582225799561e-02 9.216237068176269531e-02 2.012089043855667114e-01
3.000000000000000000e+03 7.323677092790603638e-02 7.080607861280441284e-02 1.763622462749481201e-01
4.000000000000000000e+03 4.202030599117279053e-02 4.017552360892295837e-02 1.328468024730682373e-01
5.000000000000000000e+03 2.765895426273345947e-02 2.737437002360820770e-02 1.096585318446159363e-01
6.000000000000000000e+03 1.919157803058624268e-02 1.928288117051124573e-02 9.203569591045379639e-02
7.000000000000000000e+03 1.344928704202175140e-02 1.356121618300676346e-02 7.718265056610107422e-02
8.000000000000000000e+03 7.545520551502704620e-03 7.613359950482845306e-03 5.783070996403694153e-02
9.000000000000000000e+03 4.969515372067689896e-03 5.016100592911243439e-03 4.694112017750740051e-02
1.000000000000000000e+04 6.298242369666695595e-04 6.352404598146677017e-04 1.670472696423530579e-02
